%%% 
%%% SNP-D.txt
%%%
%%% COL1: unique individual name
%%% COL2: fluorescent value of dye 1
%%% COL3: fluorescent value of dye 2
%%% COL4: classification code [-1:unknown; 0:NTC; 1:homo1; 2:homo2; 3:hetero]
%%%
%%% (c) 2006 RIKEN GSC. All Rights Reserved. 
%%%
mouse_E125	0.0035674	0.036202	-1
mouse_E126	0.0052408	-0.0011207	-1
mouse_E127	-0.019685	-0.012243	-1
mouse_E128	-0.0083822	0.017341	-1
mouse_E129	-0.022162	0.050544	-1
mouse_E130	-0.027322	0.0044252	-1
mouse_E131	-0.017704	0.004389	-1
mouse_E132	-0.049372	0.015463	-1
mouse_E133	-0.029635	0.022537	-1
mouse_E134	-0.027509	-0.054338	-1
mouse_E135	-0.033176	0.020851	-1
mouse_E136	-0.040407	0.0067088	-1
mouse_E137	-0.028149	0.036075	-1
mouse_E138	-0.01069	0.010545	-1
mouse_E139	-0.0079714	0.025231	-1
mouse_E140	-0.039779	0.055172	-1
mouse_E141	-0.016568	0.042455	-1
mouse_E142	-0.019426	0.012086	-1
mouse_E143	-0.022132	0.011143	-1
mouse_E144	-0.033333	-0.014351	-1
mouse_E145	0.039126	0.055649	-1
mouse_E146	-0.011149	-0.008491	-1
mouse_E147	0.001755	0.081735	-1
mouse_E148	-0.018054	-0.0042017	-1
mouse_E149	-0.01707	0.055848	-1
mouse_E150	-0.026107	0.026699	-1
mouse_E151	-0.04611	0.10266	-1
mouse_E152	-0.036649	0.024869	-1
mouse_E153	0.0020268	0.068867	-1
mouse_E154	-0.029074	0.03619	-1
mouse_E155	-0.068209	0.13217	-1
mouse_E156	-0.0062074	-0.0060745	-1
mouse_E157	-0.038866	0.10637	-1
mouse_E158	-0.039634	0.0026672	-1
mouse_E159	-0.052199	0.079186	-1
mouse_E160	-0.042038	0.013783	-1
mouse_E161	-0.013819	0.065816	-1
mouse_E162	-0.026427	0.032088	-1
mouse_E163	-0.025129	0.14314	-1
mouse_E164	-0.035495	0.051843	-1
mouse_E165	-0.056138	0.063515	-1
mouse_E166	0.015185	0.043119	-1
mouse_E167	-0.029418	0.051323	-1
mouse_E168	-0.029285	0.033997	-1
mouse_E169	-0.04408	0.025376	-1
mouse_E170	-0.048321	0.038613	-1
mouse_E171	-0.018562	0.057516	-1
mouse_E172	-0.07724	0.016302	-1
mouse_E173	-0.11327	0.098614	-1
mouse_E174	-0.076316	0.085916	-1
mouse_E175	-0.069206	0.099448	-1
mouse_E176	-0.11374	-0.14128	-1
mouse_E177	-0.084043	0.064348	-1
mouse_E178	-0.10388	0.026186	-1
mouse_E179	-0.080352	0.074069	-1
